 idPlato,nombre,descripcion,precio,esTemporada
67,Wok de Fideos,Con verduras y salsa de ostras,12.00,False
68,Bacalao Dorado,Revuelto de bacalao patata y huevo,14.00,False
69,Crema de Espárragos,Textura aterciopelada de temporada,8.00,True
70,Pechuga de Pavo,A la plancha para opción ligera,10.00,False
71,Champiñones al Ajillo,Salteados con mucho sabor,8.50,False
72,Lemon Pie,Tarta de limón con merengue suizo,6.50,False
73,Steak Tartar,Carne picada aliñada al gusto del cliente,21.00,False
74,Alcachofas con Berberechos,Combinación de mar y tierra,16.50,True
75,Sándwich Club,Triple piso con pollo bacon y huevo,10.50,False
76,Rollitos de Primavera,Rellenos de col y zanahoria,7.00,False
77,Curry de Pollo,Estilo indio con arroz basmati,14.50,False
78,Panna Cotta,De vainilla con sirope de fresa,5.50,False
79,Fabada Asturiana,Guiso contundente de alubias,15.00,True
80,Chipirones Afuegados,En su tinta con un toque picante,13.50,False
81,Gyozas de Cerdo,Empanadillas japonesas al vapor,9.00,False
82,Gazpacho de Sandía,Variante frutal muy refrescante,8.50,True
83,Lomo Alto de Buey,Corte madurado 45 días,28.00,False
84,Gamba Roja de Denia,Producto fresco a la plancha,25.00,True
85,Crepe de Nutella,Relleno generoso de chocolate,6.00,False
86,Ensalada de Quinoa,Con granada y frutos secos,11.00,True
87,Codillo de Cerdo,Estilo alemán con chucrut,17.50,False
88,Sushi Variado,12 piezas de rolls y nigiris,22.00,False
89,Sopa Miso,Tradicional japonesa con tofu,6.00,False
90,Huevos Rotos,Con jamón ibérico y patatas fritas,12.00,False
91,Tarta de Manzana,Hojaldre fino con fruta natural,6.50,True
92,Poke de Atún,Con mango aguacate y salsa ponzu,14.50,False
93,Callos a la Madrileña,Guiso tradicional con mucho sabor,13.00,True
94,Fettuccine Alfredo,Salsa cremosa de mantequilla y queso,12.50,False
95,Zumo de Naranja,Recién exprimido 100% natural,4.00,True
96,Tempura de Langostinos,Seis piezas con salsa tentsuyu,15.00,False
97,Couscous de Cordero,Con especias árabes y verduras,16.50,False
98,Helado Artesano,Dos bolas a elegir sabor,5.00,False
99,Merluza en Salsa Verde,Con almejas y perejil,19.00,False
100,Trufas de Chocolate,Artesanas con cacao puro,5.50,False
